Tahun,Komoditi,Unit Kuantiti,Kuantiti_Eksport,Kuantiti_Import
2018,Daging Lembu dan Kerbau  ,Tan Metrik,3393.02,165087.55
2018,Daging Kambing dan Bebiri  ,Tan Metrik,234.65,36301.02
2018,Daging Ayam dan Itik  ,Tan Metrik,39397.4,71746.38
2018,Susu Segar,Tan Metrik,2250.69,27418.68
2018,Ikan segar,Tan Metrik,82252.98,269264.9
2018,Beras,Tan Metrik,19668.1,797880.52
2018,Tepung Gandum dan tepung meslin,Tan Metrik,97564.59,275184.65
2018,sayuran,Tan Metrik,40073.13,44768.26
2018,ubi,Tan Metrik,633.34,3289.23
2018,ubi,Tan Metrik,867.69,11491.91
2018,ubi ,Tan Metrik,20537.08,363568.82
2018,sayuran,Tan Metrik,126910.16,151465.89
2018,buah,Tan Metrik,24205.72,16863.89
2018,buah,Tan Metrik,23301.26,5632.98
2018,buah,Tan Metrik,2156.22,1277.94
2018,buah,Tan Metrik,23380.6,7860.57
2018,Jus buah-buahan dan sayur-sayuran,Tan Metrik,32704.77,39249.65
2018,buah,Tan Metrik,1029.8,100312.25
2018,buah,Tan Metrik,11580.07,55797.09
2018,gula,Tan Metrik,2610.25,8025.56
2018,mi,Tan Metrik,1772.22,16562.39
2019,Daging Lembu dan Kerbau  ,Tan Metrik,4427,159184.39
2019,Daging Kambing dan Bebiri  ,Tan Metrik,31.91,31348.73
2019,Daging Ayam dan Itik  ,Tan Metrik,42015.38,72580.54
2019,Susu Segar,Tan Metrik,6791.66,30192.8
2019,"Mentega, Lain-lain Minyak dan lemak dari tenusu",Tan Metrik,5500.4,19010.89
2019,Ikan segar,Tan Metrik,96735.23,276087.37
2019,Beras,Tan Metrik,24856.63,960310.41
2019,Tepung Gandum dan tepung meslin,Tan Metrik,99695,303688.06
2019,sayuran,Tan Metrik,8147.3,28484.93
2019,ubi,Tan Metrik,556.14,523.26
2019,ubi,Tan Metrik,1141.84,13791.48
2019,ubi ,Tan Metrik,14344.64,381688.11
2019,sayuran,Tan Metrik,83238.06,152966.3
2019,buah,Tan Metrik,23994.84,28166.89
2019,buah,Tan Metrik,24119.51,4933.43
2019,buah,Tan Metrik,1633.93,955.75
2019,buah,Tan Metrik,22161.77,6372.7
2019,Jus buah-buahan dan sayur-sayuran,Tan Metrik,24820.36,28067.88
2019,buah,Tan Metrik,1141.76,105827.67
2019,buah,Tan Metrik,10177.2,58624.57
2019,gula,Tan Metrik,3386.94,8623.3
2019,mi,Tan Metrik,2207.55,16752.01
2020,Daging Lembu dan Kerbau  ,Tan Metrik,3790.66,161889.98
2020,Daging Kambing dan Bebiri  ,Tan Metrik,51.38,37827.96
2020,Daging Ayam dan Itik  ,Tan Metrik,42298.21,69858.95
2020,Susu Segar,Tan Metrik,12300.39,35611.12
2020,"Mentega, Lain-lain Minyak dan lemak dari tenusu",Tan Metrik,4131.81,19915.29
2020,Ikan segar,Tan Metrik,147066.22,270924.56
2020,Beras,Tan Metrik,58250.52,1212410.04
2020,Tepung Gandum dan tepung meslin,Tan Metrik,66194.75,297205.37
2020,sayuran,Tan Metrik,12859.8,41101.79
2020,ubi,Tan Metrik,517.76,1110.14
2020,ubi,Tan Metrik,1406.32,19032.84
2020,ubi ,Tan Metrik,13025.63,378551.97
2020,sayuran,Tan Metrik,73600.29,144952.58
2020,buah,Tan Metrik,28059.31,27897.99
2020,buah,Tan Metrik,24669.62,4647.03
2020,buah,Tan Metrik,767.69,1714.27
2020,buah,Tan Metrik,16967.76,4901.93
2020,Jus buah-buahan dan sayur-sayuran,Tan Metrik,20251.08,20102.33
2020,buah,Tan Metrik,2085,106249.19
2020,buah,Tan Metrik,13291.6,62308.35
2020,gula,Tan Metrik,2978.25,7787.44
2020,mi,Tan Metrik,1820.24,21758.58
2021,Daging Lembu dan Kerbau, Tan Metrik,8287.14,169014.18
2021,Daging Kambing dan Bebiri  , Tan Metrik,47.15,29296.35
2021,Daging Ayam dan Itik  , Tan Metrik,47879.27,96497.67
2021,Susu Segar, Tan Metrik,13479.61,45708.03
2021,"Mentega, Lain-lain Minyak dan lemak dari tenusu", Tan Metrik,3248.44,20807.47
2021,Ikan segar, Tan Metrik,141788.32,309906.56
2021,Beras, Tan Metrik,96259.69,1153654
2021,Tepung Gandum dan tepung meslin, Tan Metrik,61416.62,278678.41
2021,sayuran, Tan Metrik,36110.97,51458.97
2021,ubi, Tan Metrik,880.92,811.53
2021,ubi, Tan Metrik,2282.28,17299.71
2021,ubi , Tan Metrik,13201.79,367299.28
2021,sayuran, Tan Metrik,93090.15,162926.2
2021,buah, Tan Metrik,32084.92,23701.34
2021,buah, Tan Metrik,21535.81,3487.76
2021,buah, Tan Metrik,1798.9,2126.41
2021,buah, Tan Metrik,24684.08,6727.69
2021,Jus buah-buahan dan sayur-sayuran, Tan Metrik,26436.54,22789.42
2021,buah, Tan Metrik,2273.75,106256.45
2021,buah, Tan Metrik,14070.81,74921.35
2021,gula, Tan Metrik,2355.21,7315.14
2021,mi, Tan Metrik,2454.95,27581.29
