Tahun,Komoditi,Unit Kuantiti,Kuantiti Eksport,Nilai Eksport,Kuantiti Import,Nilai Import
2018,Lembu dan Kerbau  ,Ekor,123,124067,75974,134787539
2018,Kambing dan Bebiri ,Ekor,60,24000,60303,49192647
2018,Babi  ,Ekor,37675,39955614,256,2416754
2018,Ayam dan itik ,Ekor,61281600,775094694,2316900,82799966
2018,Daging Lembu dan Kerbau  ,Tan Metrik,3393.02,69776726,165087.55,2173680653
2018,Daging Kambing dan Bebiri  ,Tan Metrik,234.65,4231438,36301.02,732862150
2018,Daging Babi  ,Tan Metrik,2097.85,39198138,24365.33,287078370
2018,Daging Ayam dan Itik  ,Tan Metrik,39397.4,477044943,71746.38,634876599
2018,Daging Ayam Turki  ,Tan Metrik,168.5,4601432,302.13,3360968
2018,Daging lain  ,Tan Metrik,5193.26,76042906,3185.02,58318091
2018,Susu Segar,Tan Metrik,2250.69,11135721,27418.68,100675341
2018,"Lain-lain susu, krim dan produk susu",Tan Metrik,160593.92,1086358157,322528.92,2724681275
2018,"Mentega , Lain-lain Minyak dan lemak dari tenusu",Tan Metrik,8132.5,122385039,20225.22,512401179
2018,Keju dan dadih,Tan Metrik,901.75,21681568,25560.96,501509875
2018,Telur unggas,Tan Metrik,121013.05,589919106,2878.2,22711557
2018,Ikan hidup,Tan Metrik,2941.67,50569907,1938.22,18516714
2018,Ikan segar,Tan Metrik,82252.98,522381635,269264.9,2203470060
2018,Ikan kering,Tan Metrik,13442,126049203,22321.97,196439081
2018,Krustasea dan moluska,Tan Metrik,72428.59,1382356202,65377.53,1034219041
2018,"Sediaan ikan, krustasea dan moluska",Tan Metrik,39667.66,681094636,33089.9,583776363
2018,"Lain-lain produk ikan, krustasea dan moluska",Tan Metrik,45982.4,217743261,22262.85,98529058
2018,Beras,Tan Metrik,19668.1,34653701,797880.52,1633448133
2018,Tepung beras,Tan Metrik,157.54,643294,7629.2,22986900
2018,Gandum dan meslin,Tan Metrik,1243.75,1862742,1461905.44,1599028832
2018,Tepung Gandum dan tepung meslin,Tan Metrik,97564.59,169513128,275184.65,359337022
2018,Malt,Tan Metrik,744.5,7384888,44416.56,93321363
2018,Biskut,Tan Metrik,23896.18,379571397,14347.43,159778115
2018,Keluaran roti,Tan Metrik,130745.16,1429276917,15597.47,154573218
2018,Bijirin bersalut koko,Tan Metrik,25631.76,229304786,10190.06,97547976
2018,Roll flake grains of maize,Tan Metrik,13016.46,12450565,2541054.86,2207015290
2018,Other worked grains of maize,Tan Metrik,1016.64,1414757,4378.7,5327654
2018,Bijirin lain,Tan Metrik,130883.82,1447134564,146194.37,761099594
2018,Bayam,Tan Metrik,9225.16,15343189,778.23,7727529
2018,Cendawan,Tan Metrik,6717.35,171329612,32036.43,348827393
2018,Cili ,Tan Metrik,6452.32,28908275,64151.02,207107281
2018,Halia,Tan Metrik,274.76,3281512,45261.2,140582487
2018,Jagung manis,Tan Metrik,11309.88,47568341,13445.06,42604525
2018,Kacang bendi,Tan Metrik,3315.6,8479319,442.39,825604
2018,Kacang buncis,Tan Metrik,3352.71,14466823,252.29,1847023
2018,Kacang panjang,Tan Metrik,4900.8,17344931,1063.8,1519886
2018,Kobis,Tan Metrik,2052.47,4156330,129704.14,157189515
2018,Salad,Tan Metrik,15258.3,72497979,9426.53,22732590
2018,Sawi,Tan Metrik,7085.31,10996551,10295.05,19348270
2018,Sayuran campuran,Tan Metrik,40073.13,113501144,44768.26,169288634
2018,Terung,Tan Metrik,9459.44,20466642,4211.96,6475888
2018,Timun,Tan Metrik,24621.13,39908216,15040.65,13268625
2018,Tomato,Tan Metrik,46839.9,127360903,20943.91,71159584
2018,Ubi kayu,Tan Metrik,633.34,748685,3289.23,13849296
2018,Ubi keledek,Tan Metrik,867.69,1650444,11491.91,31560429
2018,Bawang,Tan Metrik,19902.9,33996509,544720.42,731368356
2018,Bawang putih,Tan Metrik,16389.71,52342131,151231.74,405637665
2018,"Bunga kobis, brokoli",Tan Metrik,1023.4,3125475,59624.61,277080983
2018,Kekacang,Tan Metrik,9101.89,35547950,124144.11,340398975
2018,Lobak merah,Tan Metrik,3409.02,7263187,85099.24,188275676
