State,Year,Production Tonnes
Johor,2016,10794
Johor,2017,8563
Johor,2018,9424
Johor,2019,7704
Johor,2020,7502
Kedah,2016,1015000
Kedah,2017,939308
Kedah,2018,955662
Kedah,2019,859018
Kedah,2020,914470
Kelantan,2016,315232
Kelantan,2017,309582
Kelantan,2018,319774
Kelantan,2019,268831
Kelantan,2020,305675
Melaka,2016,13768
Melaka,2017,12135
Melaka,2018,9352
Melaka,2019,9323
Melaka,2020,8550
Negeri Sembilan,2016,7578
Negeri Sembilan,2017,10261
Negeri Sembilan,2018,7504
Negeri Sembilan,2019,7670
Negeri Sembilan,2020,8942
Pahang,2016,28878
Pahang,2017,28434
Pahang,2018,34657
Pahang,2019,31234
Pahang,2020,35524
Pulau Pinang,2016,148297
Pulau Pinang,2017,146660
Pulau Pinang,2018,133636
Pulau Pinang,2019,128127
Pulau Pinang,2020,121594
Perak,2016,300699
Perak,2017,293715
Perak,2018,292063
Perak,2019,257605
Perak,2020,232732
Perlis,2016,241977
Perlis,2017,231328
Perlis,2018,240615
Perlis,2019,209828
Perlis,2020,190733
Selangor,2016,222033
Selangor,2017,165571
Selangor,2018,174432
Selangor,2019,174088
Selangor,2020,159535
Terengganu,2016,73301
Terengganu,2017,67715
Terengganu,2018,74335
Terengganu,2019,71382
Terengganu,2020,73068
Sabah,2016,115799
Sabah,2017,110936
Sabah,2018,122390
Sabah,2019,112569
Sabah,2020,117846
Sarawak,2016,246250
Sarawak,2017,246305
Sarawak,2018,265358
Sarawak,2019,215491
Sarawak,2020,167589
W.P. Labuan,2016,-
W.P. Labuan,2017,-
W.P. Labuan,2018,-
W.P. Labuan,2019,-
W.P. Labuan,2020,-
